Geo Point;Geo Shape;GR_ID;GR_NOM;ZDL_ID;ZDL_NOM;LDA_ID;LDA_NOM;GARE_NOM;INSEE_TXT;COMM_NOM;DPT_ID;ACCES_PMR
48.6164204463,2.12718512379;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[2.12823610246631, 48.616166210435544], [2.128083352596182, 48.616098153005076], [2.127472544115669, 48.61580265097195], [2.127330214370852, 48.615727349146105], [2.127210126526283, 48.61569600357184], [2.127142499466439, 48.61579071221896], [2.12724577209584, 48.615797181357806], [2.127368319442976, 48.615853298178116], [2.127087174141154, 48.61619881151341], [2.127884236361686, 48.61652446195178], [2.12823610246631, 48.616166210435544]]], [[[2.126574146501797, 48.61659639854785], [2.12613526665909, 48.61642903300236], [2.125986742236917, 48.61654772333838], [2.126644888203487, 48.616840408124055], [2.126717019616284, 48.616754292188524], [2.126574146501797, 48.61659639854785]]], [[[2.126737055080297, 48.617322389131445], [2.126150759779416, 48.61700901880516], [2.125970719992265, 48.617154417893175], [2.126521332165193, 48.61742013664526], [2.126737055080297, 48.617322389131445]]]]}";891;Gare Autoroutière Briis-sous-Forge;43064;Gare autoroutière;60346;Gare autoroutière;;91634;Vaugrigneuse;91;Oui
48.5321015351,2.37160918736;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[2.371915037975803, 48.53219461577372], [2.371849126797628, 48.53202227985605], [2.371790568153499, 48.5320466940771], [2.371801292619721, 48.53209727212596], [2.371842812723492, 48.532279153458184], [2.371893801896543, 48.532346067700345], [2.371934275191069, 48.532345207399835], [2.371915037975803, 48.53219461577372]]], [[[2.37177276709425, 48.53245184602567], [2.371685571732801, 48.53220577725105], [2.371659264257402, 48.532085869443215], [2.371658749229812, 48.53196346481541], [2.371693240121507, 48.531896524542624], [2.371796989825833, 48.53183784600605], [2.371757721298086, 48.53180736705188], [2.371279628817661, 48.53201542285474], [2.371441715214433, 48.53221501713256], [2.371608933370815, 48.53220868091979], [2.371717588000836, 48.53246445376055], [2.37177276709425, 48.53245184602567]]]]}";47;Ballancourt;43087;Ballancourt (Gare);59825;Ballancourt (Gare);BALLANCOURT;91045;Ballancourt-sur-Essonne;91;
48.9042935029,2.47195087695;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[2.471899913292389, 48.903977945802694], [2.471558303047628, 48.9038708466206], [2.471334116878221, 48.903938615249125], [2.47150505893414, 48.903978659864954], [2.471988187793185, 48.9040888387639], [2.472694683652279, 48.90421227744479], [2.472724979697107, 48.904163298030824], [2.472319845601819, 48.90407556651066], [2.471899913292389, 48.903977945802694]]], [[[2.471832306206488, 48.90440001768246], [2.471252553739681, 48.90426731094582], [2.471236407269956, 48.90439002162913], [2.471994878902207, 48.90453088330114], [2.472845058587034, 48.90481211514817], [2.472871356447227, 48.90479013014349], [2.472415189167932, 48.90459167069576], [2.472062523830429, 48.90447224614592], [2.471832306206488, 48.90440001768246]]]]}";639;Pont de Bondy;47338;Avenue de Rosny;72463;Avenue De Rosny - Pont de Bondy;PONT DE BONDY;93010;Bondy;93;
48.9942759188,2.41615882385;"{""type"": ""Polygon"", ""coordinates"": [[[2.415791889458645, 48.99422088425171], [2.415866397260016, 48.99421149211743], [2.415951563208492, 48.99420909837603], [2.41604384852195, 48.994220710578276], [2.416118419899782, 48.99425101606289], [2.41619835422036, 48.99430583815528], [2.416237478167446, 48.99436068826564], [2.416243000205074, 48.99448561743636], [2.416298076608745, 48.99452994858315], [2.416503661021316, 48.99437801801301], [2.41597085804668, 48.99406897333616], [2.415743892601809, 48.99416487214001], [2.415791889458645, 48.99422088425171]]]}";898;Villiers-le-Bel-Gonesse-Arnouville (nord);43222;Villiers-le-Bel Gonesse Arnouville;66009;Villiers-le-Bel Gonesse Arnouville;VILLIERS-LE-BEL-GONESSE-ARNOUVILLE;95019;Arnouville;95;
49.0148408096,2.07981423823;"{""type"": ""Polygon"", ""coordinates"": [[[2.08079255388465, 49.015150461654486], [2.079418578234583, 49.01447328520051], [2.079381073230274, 49.01440314468116], [2.079317349043435, 49.01436875149831], [2.07922754965954, 49.01434208426761], [2.079142394155833, 49.014332551846124], [2.079066617941516, 49.014340165395474], [2.078976543160689, 49.014366427561086], [2.07890990867028, 49.01443633390725], [2.078902566341817, 49.014483021517584], [2.078900052962281, 49.01451103816925], [2.078904624553418, 49.01454218462188], [2.078935150031144, 49.014588956862546], [2.078987008365478, 49.01462955125663], [2.079102858174023, 49.014653164119245], [2.080523873355141, 49.015388051330476], [2.08079255388465, 49.015150461654486]]]}";569;Neuville-Université;47879;Neuville Université;66436;Neuville Université;NEUVILLE UNIVERSITE;95450;Neuville-sur-Oise;95;Partielle
48.8110126905,2.30191562821;"{""type"": ""Polygon"", ""coordinates"": [[[2.302057958922068, 48.8105130092237], [2.30201200752811, 48.81051522327359], [2.301374860233536, 48.81131857627177], [2.301543773951664, 48.81145805886588], [2.301667178329372, 48.8114445019056], [2.302360095252589, 48.81103591600247], [2.302383869369845, 48.810874714479795], [2.30215440805297, 48.81057496752486], [2.302057958922068, 48.8105130092237]]]}";155;Métro Châtillon - Montrouge;42588;Châtillon Montrouge;70469;Châtillon Montrouge;CHATILLON-MONTROUGE;92020;Châtillon;92;Partielle
48.9302816328,2.35830054127;"{""type"": ""Polygon"", ""coordinates"": [[[2.357592404183514, 48.93018530165392], [2.357327742731933, 48.93010854817015], [2.356789027933179, 48.930092039085544], [2.356697668655682, 48.930094130561315], [2.35669772902625, 48.93024565861834], [2.357123048372885, 48.93030162772488], [2.357583049064405, 48.93041778456864], [2.358036747240716, 48.930523562228686], [2.358521936619919, 48.93059819614561], [2.358758212657748, 48.93059192369827], [2.359580237284745, 48.93010396441036], [2.360676455131764, 48.92988993844414], [2.360670145690466, 48.929871258000254], [2.360443317743577, 48.929863003532894], [2.360232264653932, 48.92990248624557], [2.359454203755326, 48.93006040007336], [2.359199061204543, 48.93013725271576], [2.358761274743631, 48.93039265293759], [2.358603774612372, 48.93043419811621], [2.358452560562188, 48.93044045442731], [2.357592404183514, 48.93018530165392]]]}";734;Saint-Denis - Porte de Paris;44861;Saint-Denis Porte de Paris;72285;Saint-Denis Porte de Paris;SAINT-DENIS-PORTE DE PARIS;93066;Saint-Denis;93;
48.9738112413,2.51383455254;"{""type"": ""Polygon"", ""coordinates"": [[[2.513339045463091, 48.97307440803341], [2.513184753372671, 48.97311592667004], [2.513694927133111, 48.97382007980881], [2.514045673632249, 48.974343032250914], [2.514167017317375, 48.97435304136466], [2.514328295232517, 48.97411196241769], [2.514134251789439, 48.97383708793877], [2.51382980518596, 48.97377399373583], [2.513339045463091, 48.97307440803341]]]}";600;Parc des Expositions;47878;Parc des Expositions;73568;Parc des Expositions;PARC DES EXPOSITIONS;93078;Villepinte;93;Non
48.8123222075,2.18755216413;"{""type"": ""Polygon"", ""coordinates"": [[[2.187486382332101, 48.812517616363245], [2.187851869742482, 48.812340765767], [2.187620855907272, 48.81211124944307], [2.187243296303321, 48.81233471435709], [2.187486382332101, 48.812517616363245]]]}";158;Chaville Rive Droite;43241;Chaville Rive Droite;69503;Chaville Rive Droite;CHAVILLE RIVE DROITE;92022;Chaville;92;
49.0473742208,2.01046691597;"{""type"": ""Polygon"", ""coordinates"": [[[2.010591273372957, 49.047779189886406], [2.011087644486579, 49.047478202299374], [2.010356830992678, 49.046968147784156], [2.009840605242009, 49.047276167182694], [2.010591273372957, 49.047779189886406]]]}";124;Cergy-le-Haut;43104;Cergy Le Haut;66834;Cergy Le Haut;CERGY LE HAUT;95127;Cergy;95;Non
